id,user_id,service,album_id,name,artist_name,release_date,image_url,tracks,external_url,synced_at,created_at,updated_at,album_type,added_at,upc
9f7b6920-a75e-4978-9e20-4613783230c3,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0TRr4JGEPJ4eAb5QKRaunf,Wild God,Nick Cave & The Bad Seeds,2024-08-30,https://i.scdn.co/image/ab67616d0000b273af517c4f70e8479d61165cca,10,https://open.spotify.com/album/0TRr4JGEPJ4eAb5QKRaunf,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5400863157920
e0811e4c-5cfe-4faf-b36f-326a8e2be124,96b71fbe-364c-49b7-aace-fba92972a626,spotify,08I3iemI4Gfn7kp4wm9FmX,LP3,Hippo Campus,2022-02-04,https://i.scdn.co/image/ab67616d0000b2731251e1c3c37e02d4f9a1d5fa,10,https://open.spotify.com/album/08I3iemI4Gfn7kp4wm9FmX,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,196292441680
1e5b24fa-6286-48f3-b011-cd635ed37ed8,96b71fbe-364c-49b7-aace-fba92972a626,spotify,08RdKFNm8Cu86FSzlhoAoh,Mature Themes,Ariel Pink,2012-08-20,https://i.scdn.co/image/ab67616d0000b2737ae789dbe007f9bd6de6597d,13,https://open.spotify.com/album/08RdKFNm8Cu86FSzlhoAoh,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,652637323061
1555ebfc-5d39-44e5-98bc-2201936ec214,96b71fbe-364c-49b7-aace-fba92972a626,spotify,08aqY8lv4zx4uaqBUpMD8a,No Love Deep Web,Death Grips,2012-10-01,https://i.scdn.co/image/ab67616d0000b273f552daab2bc3dc64d2c4c649,13,https://open.spotify.com/album/08aqY8lv4zx4uaqBUpMD8a,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,00602537531790
d095428f-0d08-4181-b92d-2db59a49c4b4,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0b8KChWO3kRpVRZNdNxms3,Script of the Bridge (Remastered),The Chameleons,1983,https://i.scdn.co/image/ab67616d0000b2735afd1a9e9be964296fc9e9d6,12,https://open.spotify.com/album/0b8KChWO3kRpVRZNdNxms3,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5024545631128
efd57f76-bbb3-4bba-8703-64fdb982add4,96b71fbe-364c-49b7-aace-fba92972a626,spotify,094LVoZpuHpU0QwZQNmqAc,Push,Sextile,2023-09-15,https://i.scdn.co/image/ab67616d0000b273856054d52966befd61ef2f81,11,https://open.spotify.com/album/094LVoZpuHpU0QwZQNmqAc,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,843563166789
a40b979d-2e37-4e73-9f75-c00ef4d97b24,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Au4HNwGtEi5iOFprP0027,London Zoo,The Bug,2008-06-30,https://i.scdn.co/image/ab67616d0000b2738dd11fdf635ff83429fe30e7,12,https://open.spotify.com/album/0Au4HNwGtEi5iOFprP0027,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5021392486192
3c3071ba-185d-40c7-a899-4f66c85d14cc,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Cuqhgy8vm96JEkBY3polk,Titanic Rising,Weyes Blood,2019-04-05,https://i.scdn.co/image/ab67616d0000b2730c64e752dec4c08362cc4a88,10,https://open.spotify.com/album/0Cuqhgy8vm96JEkBY3polk,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,098787123265
65091a7c-afea-4249-a9ed-8304efce93f2,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0hQOqvZv1nQvPiBjzyn363,Talkie Walkie,Air,2004-01-26,https://i.scdn.co/image/ab67616d0000b2736400fab74f28e90759ac8815,10,https://open.spotify.com/album/0hQOqvZv1nQvPiBjzyn363,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,0724359663258
7279ea04-0d11-4dd7-ac40-04745a9dde7a,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0DBkFC6739trhCoVreZyds,Parklife (Special Edition),Blur,1994-04-25,https://i.scdn.co/image/ab67616d0000b2732e4d97729bab58f1c0eabd33,32,https://open.spotify.com/album/0DBkFC6739trhCoVreZyds,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5099964481951
71788625-b07a-433d-b082-ffa36555b268,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0DZuHqb2d6WCI8SBzgDEas,Sueño De La Maquina,Kinky,2012-07-17,https://i.scdn.co/image/ab67616d0000b273a58be3083282cbe9c285fbfb,10,https://open.spotify.com/album/0DZuHqb2d6WCI8SBzgDEas,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,886443492011
c04e395a-e90d-4970-bfc0-533008aafc52,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0DdEmVkv1IrNGNsO6kG04G,Pre-Code Hollywood,Jonathan Bree,2023-04-14,https://i.scdn.co/image/ab67616d0000b273ebc6bf63d34f11dd398ae03e,10,https://open.spotify.com/album/0DdEmVkv1IrNGNsO6kG04G,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,617308045734
60ab6fc9-5efb-4c6f-a720-4f1a2173db1d,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0mfWe1yl49IvELjU9eWq5R,Thunder Follows the Light,Mutual Benefit,2018-09-21,https://i.scdn.co/image/ab67616d0000b273f9435b46ed3808bd90fd6167,10,https://open.spotify.com/album/0mfWe1yl49IvELjU9eWq5R,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5414940017434
9ba4a27e-093e-4382-941b-5ef1b3781123,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-22,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,14,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,00602458311679
d608d031-b762-4238-9f3c-a476eb1fd37b,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0o5xjCboti8vXhdoUG9LYi,Notes On A Conditional Form,The 1975,2020-05-22,https://i.scdn.co/image/ab67616d0000b2734400af0debecb047939c9254,22,https://open.spotify.com/album/0o5xjCboti8vXhdoUG9LYi,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,00602508137358
8e424091-d787-45eb-b803-7c1c3ccaec80,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0GYH4HMvMgmsRCqN224mO8,Superior State,Rendez Vous,2018-10-26,https://i.scdn.co/image/ab67616d0000b273099d11aa3f82cadb6be5b392,10,https://open.spotify.com/album/0GYH4HMvMgmsRCqN224mO8,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,3663729064936
73f4cbae-2409-4444-af96-aad47bffddaf,96b71fbe-364c-49b7-aace-fba92972a626,spotify,6aghGRwQw9Rjzh1qRtQLpR,Poetry,Dehd,2024-05-10,https://i.scdn.co/image/ab67616d0000b273b76d0be829a3eff9e6ac9475,14,https://open.spotify.com/album/6aghGRwQw9Rjzh1qRtQLpR,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,197190452068
b7be3e57-66c2-4176-ad3c-dd51a7ee7ece,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0H8umic35SHzLg26lL1ld9,Pacific Standard Time,Poolside,2012-07-09,https://i.scdn.co/image/ab67616d0000b2738cee2552556239686dc58a1a,16,https://open.spotify.com/album/0H8umic35SHzLg26lL1ld9,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,859708548983
ae672d63-e9e2-44a4-a6ce-428694d1f44a,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Iq6APTGuGPe875jV0rIw2,White Light,Sidewalks and Skeletons,2015-03-05,https://i.scdn.co/image/ab67616d0000b273bbaf9de6c418a0aa6cb7b938,14,https://open.spotify.com/album/0Iq6APTGuGPe875jV0rIw2,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,889211443277
cafe6238-4be1-49c6-9b08-8b1bd19d4f1b,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0JN9Za7vTgRgRjS5Zv08hy,Naked City,Glass Candy,2019-02-01,https://i.scdn.co/image/ab67616d0000b273e367942f53c46d8849edcbb5,5,https://open.spotify.com/album/0JN9Za7vTgRgRjS5Zv08hy,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,single,2024-10-28 18:03:52+00,193436087582
be4c0622-0812-4278-851e-3a3e01072e07,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0JszcE85lnFBHOxxQhMhew,Magic Guitar - Instrumental Romantic,Paco Nula,2013-08-04,https://i.scdn.co/image/ab67616d0000b273acaefc66abdd7cc8100acdcf,26,https://open.spotify.com/album/0JszcE85lnFBHOxxQhMhew,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,888003060166
1364dfc9-767a-4a2c-8016-14b2268a418c,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Kmn5zoggtkDhoGrNpHOeZ,"Punish, Honey",Vessel,2014-09-16,https://i.scdn.co/image/ab67616d0000b27343810d22c4374068ba0a1cbb,9,https://open.spotify.com/album/0Kmn5zoggtkDhoGrNpHOeZ,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,656605513669
8bc085fc-4eeb-4ef7-a789-0e38e1342ee9,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0NACl36sqipY6OZXOqy1At,Vu de l'extérieur,Serge Gainsbourg,1973-01-01,https://i.scdn.co/image/ab67616d0000b273177fb523419622abe640362e,10,https://open.spotify.com/album/0NACl36sqipY6OZXOqy1At,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,00602547711762
acc2d4ee-6a8e-4399-8af8-c8bafd249b02,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0NCCLK5RqnGNMvRON2hDjf,Reset Mariachi EP,Sonic Boom,2024-08-12,https://i.scdn.co/image/ab67616d0000b273d1474dc44b9d68dd544072ce,6,https://open.spotify.com/album/0NCCLK5RqnGNMvRON2hDjf,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,single,2024-10-28 18:03:52+00,887829143466
78bec3c2-37d6-4fd3-9418-4412bb720f37,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0NDZWNHJ5ySx3YeFLbsdMe,Mezzanine (Deluxe),Massive Attack,2019-08-23,https://i.scdn.co/image/ab67616d0000b2735a34af7f2b06eb84c17d833e,19,https://open.spotify.com/album/0NDZWNHJ5ySx3YeFLbsdMe,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,00602567930983
